Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-Dec-23,785,787.1,737.5,742.85,755.9356059,185312,12392,140083939,110714,59.74,49.6,-42.15
21-Dec-23,732.9,766.1,729.45,762.6,750.3676425,35423,1704,26580273,16368,46.21,36.65,29.7
22-Dec-23,764.25,771,756.05,761.6,764.0250707,59791,3518,45681823,31455,52.61,14.95,-2.65
26-Dec-23,764.35,787.4,764.35,769.6,776.2014188,110377,4636,85674784,42979,38.94,23.05,5.25
27-Dec-23,777.1,819.55,768.3,811.15,797.0343071,266825,12149,212668679,187181,70.15,51.25,34.05
28-Dec-23,819.35,823.4,805,819.9,814.4557676,109422,3924,89119379,34533,31.56,18.4,0.55
29-Dec-23,815.15,831.25,810,816.4,819.7634837,49430,2228,40520909,21742,43.99,21.25,1.25
01-Jan-24,816.55,827,815.1,824.85,821.8044304,80805,5063,66405907,60065,74.33,11.9,8.3
02-Jan-24,828.05,833,808,815.7,818.1648,30625,1733,25056297,14186,46.32,25,-12.35
03-Jan-24,816.45,820,807.95,811.65,812.2041737,64739,3680,52581286,39026,60.28,12.05,-4.8
04-Jan-24,812.6,827,812.6,816.6,820.1518992,58868,3562,48280702,39122,66.46,14.4,4
05-Jan-24,818.15,842.4,818.15,834.9,831.5346233,58761,2811,48861806,24262,41.29,24.25,16.75
08-Jan-24,839.95,839.95,820.35,826.8,827.5996319,17931,1299,14839689,8073,45.02,19.6,-13.15
09-Jan-24,827.65,836.35,810.35,815.1,824.0820596,21655,1383,17845497,10709,49.45,26,-12.55
10-Jan-24,819.65,822.35,807,812.95,812.0427553,51362,3743,41708140,26913,52.4,15.35,-6.7
11-Jan-24,815,821.45,790.65,795.8,805.8150913,35769,1969,28823200,19373,54.16,30.8,-19.2
12-Jan-24,800,806.2,799,802.65,802.5112873,27996,1586,22467106,18818,67.22,7.2,2.65
15-Jan-24,814.8,823.55,810,815.2,817.8959527,89344,4765,73074096,50129,56.11,13.55,0.4
16-Jan-24,820.85,824.95,797.05,804.1,809.8412014,41052,1959,33245601,21556,52.51,27.9,-16.75
17-Jan-24,799.15,809.15,791.85,796.2,801.7916672,74405,4841,59657309,45062,60.56,17.3,-2.95
18-Jan-24,808.65,817,771.9,811.3,791.6921178,35650,2321,28223824,16920,47.46,45.1,2.65
19-Jan-24,819.05,820,804.05,816.9,811.8706149,61429,3873,49872400,35425,57.67,15.95,-2.15
20-Jan-24,820.85,820.85,806,808.2,810.6068796,14245,962,11547095,7679,53.91,14.85,-12.65
23-Jan-24,811.45,818.35,787.2,790.1,799.2564603,77899,5336,62261279,37852,48.59,31.15,-21.35
24-Jan-24,790,805,777.45,799.25,795.6944608,54412,3204,43295327,27700,50.91,27.55,9.25
25-Jan-24,805.75,815.65,801.6,813.2,811.4387838,17234,1175,13984336,9323,54.1,14.05,7.45
29-Jan-24,805.15,841,805.15,837.9,829.1135757,135293,8346,112173263,101106,74.73,35.85,32.75
30-Jan-24,840,846.4,830,837.3,841.1519103,53683,1863,45155558,33984,63.3,16.4,-2.7
31-Jan-24,844.85,900,841.35,887.95,879.3788133,198124,7030,174226048,75289,38,58.65,43.1
01-Feb-24,900.95,900.95,875.75,880.25,886.2255726,49115,2396,43526969,16116,32.81,25.2,-20.7
02-Feb-24,897.5,903,866.5,892,888.9465156,60354,2461,53651478,24703,40.93,36.5,-5.5
05-Feb-24,909.6,922,886.55,890.25,902.9339078,43636,2161,39400424,21405,49.05,35.45,-19.35
06-Feb-24,899.85,915,883.6,887.85,897.3246939,36422,2073,32682360,19075,52.37,31.4,-12
07-Feb-24,896.9,900.9,880.75,884.3,889.1997012,56895,4028,50591017,40052,70.4,20.15,-12.6
08-Feb-24,894.95,895.4,874,878.2,886.9575478,15806,1056,14019251,6870,43.46,21.4,-16.75
09-Feb-24,880,884,855.15,869.75,866.8087586,21967,1482,19041188,9920,45.16,28.85,-10.25
12-Feb-24,871.8,874.75,842.75,845.95,851.4636686,25061,1994,21338531,13641,54.43,32,-25.85
13-Feb-24,844.85,852,808.5,844.35,831.2049555,83867,6396,69710666,45788,54.6,43.5,-0.5
14-Feb-24,834.85,864,830.9,859.5,849.64269,18379,1208,15615583,8636,46.99,33.1,24.65
15-Feb-24,862.85,872.25,858.4,864.45,865.333323,32116,2445,27791045,18229,56.76,13.85,1.6
16-Feb-24,869.75,878.85,860,862.8,868.1521739,33442,2530,29032745,19128,57.2,18.85,-6.95
19-Feb-24,863.65,868.8,853,855.35,858.1180099,34370,2898,29493516,21296,61.96,15.8,-8.3
20-Feb-24,856,867.5,849,852,855.9820408,35692,2640,30551711,20268,56.79,18.5,-4
21-Feb-24,854.45,886.35,837.65,843.15,857.3437811,37137,1868,31839176,16132,43.44,48.7,-11.3
22-Feb-24,852.25,852.25,830.05,835.85,837.2909578,39205,3406,32825992,21420,54.64,22.2,-16.4
23-Feb-24,844.95,859.15,835.1,854.6,849.1800148,47235,3359,40111018,28033,59.35,24.05,9.65
26-Feb-24,859.05,859.05,837.95,841.55,845.8104302,14132,1013,11952993,8360,59.16,21.1,-17.5
27-Feb-24,846.8,850.6,830.7,834.1,840.6883833,11251,772,9458585,6641,59.03,19.9,-12.7
28-Feb-24,844.95,844.95,828.5,834.3,835.6240007,11758,912,9825267,6171,52.48,16.45,-10.65
29-Feb-24,834,842,816.05,838.25,828.173686,49221,4124,40763537,27692,56.26,25.95,4.25
01-Mar-24,839,847.95,839,846.15,843.3062462,13192,887,11124896,7338,55.62,8.95,7.15
02-Mar-24,846.3,852,841.3,849,848.3437887,2423,348,2055537,1749,72.18,10.7,2.7
04-Mar-24,849.5,857.2,845,848.05,849.4985431,33289,2676,28278957,23480,70.53,12.2,-1.45
05-Mar-24,848.05,859.75,845.35,851.9,853.2769511,47781,4254,40770426,34942,73.13,14.4,3.85
06-Mar-24,851.95,857,836.55,846.95,847.7678749,46238,3846,39199091,34539,74.7,20.45,-5
07-Mar-24,846.05,884.95,843.75,868,869.7600967,29787,1751,25907544,10538,35.38,41.2,21.95
11-Mar-24,871,895.65,864.45,884.2,880.8740196,28306,1754,24934020,11837,41.82,31.2,13.2
12-Mar-24,884.05,887.8,837.95,841.95,852.9618486,87179,7431,74360361,41684,47.81,49.85,-42.1
13-Mar-24,842,849.95,764.4,783.15,795.5857577,272652,20165,216918048,125578,46.06,85.55,-58.85
14-Mar-24,780.05,814.35,771.55,798.55,798.1102837,75741,4902,60449671,32049,42.31,42.8,18.5
15-Mar-24,803.55,810.15,780.8,792.4,792.5751877,48605,4035,38523117,20829,42.85,29.35,-11.15
18-Mar-24,799.45,806,785,788.15,790.7959544,65157,3978,51525892,25293,38.82,21,-11.3
19-Mar-24,795,795,765.05,770.2,779.7593864,53455,3440,41682038,36248,67.81,29.95,-24.8
20-Mar-24,770.2,777,737.65,747.6,750.8950775,31366,2042,23552575,14596,46.53,39.35,-22.6
21-Mar-24,759.65,768.7,751.5,756.75,758.6056047,25193,1373,19111551,10385,41.22,17.2,-2.9
22-Mar-24,759.85,783.6,758,777.6,773.8368081,50076,2829,38750652,21045,42.03,25.6,17.75
26-Mar-24,778.2,784.75,764.05,773.75,774.0285924,23153,1455,17921084,8757,37.82,20.7,-4.45
27-Mar-24,775,785.8,767.75,769.55,778.1170682,13616,837,10594842,7406,54.39,18.05,-5.45
28-Mar-24,779.75,784.3,756.3,760.6,766.0298112,31733,1628,24308424,16855,53.12,28,-19.15
01-Apr-24,767.6,797.95,767.6,794.55,790.0774448,58532,4469,46244813,40238,68.75,30.35,26.95
02-Apr-24,795,804.25,788.25,795.45,797.3539166,18332,1148,14617092,9646,52.62,16,0.45
03-Apr-24,795.35,809.35,794.05,803.85,802.8558326,43068,2468,34577395,19719,45.79,15.3,8.5
04-Apr-24,809.95,814,806,808.3,808.1801725,33035,1592,26698232,19790,59.91,8,-1.65
05-Apr-24,810.85,813.9,801.45,810.3,808.6895661,37148,2679,30041200,19105,51.43,12.45,-0.55
08-Apr-24,813.75,880,809.95,869.35,865.8897546,206766,11550,179036561,50919,24.63,70.05,55.6
09-Apr-24,880.85,920.25,872.3,897.6,898.337709,279501,11060,251086288,127892,45.76,47.95,16.75
10-Apr-24,902.1,903.6,873.1,877.95,885.3678833,87506,4712,77475002,54623,62.42,30.5,-24.15
12-Apr-24,879.35,897.65,867.15,890.75,884.6440771,41922,2050,37086049,14797,35.3,30.5,11.4
15-Apr-24,868,888.3,850.05,870,873.2589839,68456,2568,59779817,20946,30.6,38.25,2
16-Apr-24,865,979.05,861.2,968.5,942.4883991,421563,36101,397318237,97066,23.03,117.85,103.5
18-Apr-24,975,1051.35,972.35,993,1010.234181,746035,22838,753670057,200605,26.89,79,18
19-Apr-24,982.25,1035,966.15,1005.4,1006.827402,232813,6337,234402508,38598,16.58,68.85,23.15
22-Apr-24,1016.45,1047,1013,1041.7,1031.214549,340645,17516,351278080,100094,29.38,34,25.25
23-Apr-24,1045.25,1199.35,1045.25,1158.75,1132.134249,1024448,57600,1159812667,248443,24.25,154.1,113.5
24-Apr-24,1181.7,1202,1108.5,1132.75,1149.995448,318074,9109,365783652,54326,17.08,93.5,-48.95
25-Apr-24,1133,1150,1093.1,1105.45,1114.349507,83446,4647,92988009,30652,36.73,56.9,-27.55
26-Apr-24,1107.35,1141.8,1070.2,1113.5,1112.04247,103062,18815,114609321,38202,37.07,71.6,6.15
29-Apr-24,1124.5,1124.5,1089.45,1101.3,1101.7387,87968,6877,96917750,51942,59.05,35.05,-23.2
30-Apr-24,1103.5,1138.4,1090.75,1100.55,1108.785691,96972,6184,107521166,52192,53.82,47.65,-2.95
02-May-24,1091.75,1129.95,1091.75,1114.25,1108.531734,92093,7118,102088013,50538,54.88,38.2,22.5
03-May-24,1115.75,1134,1110.6,1126.35,1120.75052,40392,2123,45269355,18945,46.9,23.4,10.6
06-May-24,1139.95,1139.95,1088.25,1121,1117.283614,41754,2127,46651060,17538,42,51.7,-18.95
07-May-24,1120,1170,1081,1106.3,1124.631189,87435,3899,98332128,21187,24.23,89,-13.7
08-May-24,1106.35,1160.65,1106,1132.1,1141.351002,67387,4283,76912220,15049,22.33,54.65,25.75
09-May-24,1138.85,1141.4,1069.15,1086.85,1101.313998,46943,2378,51698983,18282,38.95,72.25,-52
10-May-24,1092.95,1103.4,1061.55,1072.8,1080.600656,39029,2109,42174763,12788,32.77,41.85,-20.15
13-May-24,1068.8,1078.7,1012.6,1066.15,1047.36568,154873,7833,162208665,75757,48.92,66.1,-2.65
14-May-24,1066.95,1098.9,1056,1090.85,1075.104338,98842,5090,106265463,32609,32.99,42.9,23.9
15-May-24,1103.95,1139,1096.45,1122.9,1115.742139,101993,5042,113797888,40987,40.19,42.55,18.95
16-May-24,1132.95,1154.9,1121,1133.6,1137.251133,52538,7348,59748900,13121,24.97,33.9,0.65
17-May-24,1135.1,1168.7,1131.4,1154.6,1152.925531,111388,5879,128422069,57124,51.28,37.3,19.5
18-May-24,1164,1200,1150,1158.05,1161.394379,7863,751,9132044,3998,50.85,50,-5.95
21-May-24,1169.9,1183.8,1140,1157.85,1163.985358,46783,2992,54454727,15950,34.09,43.8,-12.05
22-May-24,1166.85,1166.85,1122.25,1141.15,1142.953795,87026,5390,99466697,39603,45.51,44.6,-25.7
23-May-24,1150,1150,1110.25,1114.25,1121.097215,110868,7164,124293806,52492,47.35,39.75,-35.75
24-May-24,1114.75,1237.75,1114.75,1209.1,1200.149338,501642,18551,602045314,163846,32.66,123,94.35
27-May-24,1225,1268,1191,1219.55,1232.75641,230153,7205,283722586,82431,35.82,77,-5.45
