Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-May-24,437.4,443.4,436.4,441.25,440.4694608,343215,9222,151175726,251284,73.21,7,3.85
21-May-24,443,446.35,440.2,441.7,443.3622434,582923,9271,258446049,305432,52.4,6.15,-1.3
22-May-24,442,449.75,436.45,447.6,445.8180278,1478863,27004,659303786,891895,60.31,13.3,5.6
23-May-24,450.5,452.25,445.6,449,448.8384998,511504,8003,229582688,198910,38.89,6.65,-1.5
24-May-24,449.5,452.9,446.15,447.35,448.9572839,608904,8195,273371886,270674,44.45,6.75,-2.15
27-May-24,449,452.45,444.75,445.7,448.4178971,1142980,24332,512532688,641616,56.14,7.7,-3.3
28-May-24,447.85,449.55,434.15,436.9,438.7170136,739933,13251,324621196,435625,58.87,15.4,-10.95
29-May-24,435,439.5,432.1,432.8,434.6752169,1178833,23018,512409490,692821,58.77,7.4,-2.2
30-May-24,433.4,433.4,422.8,425.15,428.8932443,731193,12018,313603738,417040,57.04,10.6,-8.25
31-May-24,425.95,438.25,425.65,436.8,432.5048093,938077,11668,405722814,442433,47.16,12.6,10.85
03-Jun-24,456.55,459.95,447.35,456.5,454.9306462,4031892,64297,1834231233,2629399,65.22,12.6,-0.05
04-Jun-24,460,460,377.2,399.6,411.9363491,3864724,79905,1592020295,1755281,45.42,82.8,-60.4
05-Jun-24,417.5,424.4,390,422.65,409.3703745,3550012,61690,1453269742,1070269,30.15,34.4,5.15
06-Jun-24,430.65,438.5,426.05,431.5,432.6741361,837549,14162,362385790,309653,36.97,12.45,0.85
07-Jun-24,430.4,445.6,427.1,443.45,435.8512534,990537,12305,431726793,535688,54.08,18.5,13.05
10-Jun-24,449.5,458.45,445.15,447.9,451.9380531,1139622,15650,515038548,470115,41.25,13.3,-1.6
11-Jun-24,448.8,453.65,447,448.45,449.7206064,1027214,12072,461959303,623237,60.67,6.65,-0.35
12-Jun-24,451.4,453.7,448.5,449.55,450.6916398,1427389,20131,643312289,870981,61.02,5.2,-1.85
13-Jun-24,456.55,457.95,449.55,452.2,453.0437836,835268,9924,378412975,495434,59.31,8.4,-4.35
14-Jun-24,452.2,453.45,447.55,448.6,449.8900707,1385772,24420,623445063,948280,68.43,5.9,-3.6
18-Jun-24,450.45,453.65,448.2,451.55,451.1526035,350988,7465,158349150,165427,47.13,5.45,1.1
19-Jun-24,451.55,452.55,441.5,442.3,444.7835934,700561,12146,311598039,420917,60.08,11.05,-9.25
20-Jun-24,443,446.5,436.6,443.55,443.5930098,814936,14646,361499913,581375,71.34,9.9,0.55
21-Jun-24,444,445.05,437.7,438.7,440.94305,300158,6800,132352584,142060,47.33,7.35,-5.3
24-Jun-24,435.35,439.5,432.15,435.7,436.5629486,901235,20492,393445809,483438,53.64,7.35,0.35
25-Jun-24,435.7,437.9,429.9,430.7,433.0062178,831480,22653,360036010,363301,43.69,8,-5
