Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
07-Jul-22,8056.8,8150,8011.4,8081.65,8082.344957,7169,1934,57942331,1791,24.98,138.6,24.85
08-Jul-22,8101,8134.45,7955.3,7991.85,8014.972309,9895,2557,79308151,3127,31.6,179.15,-109.15
11-Jul-22,7995,8122.6,7820,8042.25,7976.529063,10116,3039,80690568,3380,33.41,302.6,47.25
12-Jul-22,8000,8073.9,7928.35,7950.1,8001.786309,7085,1836,56692656,2454,34.64,145.55,-49.9
13-Jul-22,7970,8027,7683.75,7711.5,7799.648091,14481,4157,112946704,5194,35.87,343.25,-258.5
14-Jul-22,7735,7844.85,7635.05,7798,7745.507991,32662,9161,252983782,10093,30.9,209.8,63
15-Jul-22,7940,8119,7870,8055.85,8021.663372,40368,10435,323818507,11930,29.55,249,115.85
18-Jul-22,8109,8185,8065,8099.1,8074.936186,52465,2689,423651527,44144,84.14,120,-9.9
19-Jul-22,8103.8,8148.95,8035,8075.4,8086.01878,7508,2009,60709829,2081,27.72,113.95,-28.4
20-Jul-22,8106,8212.75,8075,8101.55,8132.018195,9893,2562,80450056,3573,36.12,137.75,-4.45
21-Jul-22,8113.8,8234,8086.15,8207.7,8159.775354,8618,2043,70320944,3978,46.16,147.85,93.9
22-Jul-22,8220,8460,8220,8383.2,8358.22822,38980,9057,325803736,17854,45.8,240,163.2
25-Jul-22,8383,8549,8317,8524.55,8470.381732,16302,4150,138084163,4891,30,232,141.55
26-Jul-22,8550,8575,8300.55,8362.45,8450.278089,13582,3231,114771677,2990,22.01,274.45,-187.55
27-Jul-22,8355,8500,8341.05,8481.85,8434.706243,15506,4308,130788555,7012,45.22,158.95,126.85
28-Jul-22,8550,8620,8472,8557.05,8553.639341,22897,6178,195852680,11596,50.64,148,7.05
29-Jul-22,8649,8699.9,8551.1,8688.6,8647.88881,9902,2595,85631395,3559,35.94,148.8,39.6
01-Aug-22,8739.95,8825,8660,8718.95,8700.439412,50604,2800,440277036,43246,85.46,165,-21
02-Aug-22,8722,8722,8590.15,8631.05,8647.730804,6668,1729,57663069,1787,26.8,131.85,-90.95
03-Aug-22,8662.5,8870,8600.05,8838.45,8792.299672,12804,3322,112576605,4024,31.43,269.95,175.95
04-Aug-22,8870,9022,8765,8952.45,8918.401123,16748,3765,149365382,4958,29.6,257,82.45
05-Aug-22,8950,9420.55,8890,9312.55,9261.065171,45005,10644,416794238,11519,25.59,530.55,362.55
08-Aug-22,9305,9630,9305,9553.35,9551.833664,54967,13810,525035641,23559,42.86,325,248.35
10-Aug-22,9600,9704.2,9400,9459.75,9480.729173,15641,3822,148288085,4718,30.16,304.2,-140.25
11-Aug-22,9520,9577.6,9471.45,9496.4,9513.808128,6791,1887,64608271,1931,28.43,106.15,-23.6
12-Aug-22,9539.8,10398.4,9503.5,10241.45,10030.23777,78951,16296,791897302,19989,25.32,894.9,701.65
16-Aug-22,10350,10719.6,10350,10576.9,10561.44724,64558,16163,681825911,22089,34.22,369.6,226.9
17-Aug-22,10643.9,10760.4,10483.25,10687.35,10660.88208,23686,6829,252513653,4874,20.58,277.15,43.45
18-Aug-22,10700,10700,10548.85,10611.8,10609.30452,25673,7017,272372675,,,151.15,-88.2
19-Aug-22,10590.7,10612.1,10052.55,10130.55,10286.11487,23295,6207,239615046,7101,30.48,559.55,-460.15
22-Aug-22,10130,10130,9735,9785.6,9827.61393,17085,5210,167904784,5414,31.69,395,-344.4
23-Aug-22,9580,9940,9484.1,9615.05,9662.004971,29569,7269,285695825,6777,22.92,455.9,35.05
24-Aug-22,9575,9982.65,9522.55,9856.7,9804.188671,33471,7864,328155999,6410,19.15,460.1,281.7
25-Aug-22,9980,9980,9610,9654.25,9781.969251,13789,3637,134883574,4915,35.64,370,-325.75
26-Aug-22,9582,9686.55,9301,9346.5,9462.352296,28618,7821,270793598,9731,34,385.55,-235.5
29-Aug-22,8888,9048.45,8844.3,8872.05,8917.014803,28777,7817,256604935,11460,39.82,204.15,-15.95
30-Aug-22,9011,9150,8920,9015.1,9033.997727,41349,10568,373546772,13350,32.29,230,4.1
01-Sep-22,9048,9074.8,8845,9012.1,8925.30868,16752,4124,149516771,6046,36.09,229.8,-35.9
02-Sep-22,9050,9142.35,8680.2,8708.4,8820.91394,25459,6262,224571648,,,462.15,-341.6
05-Sep-22,8755.55,8935,8755.55,8873.45,8873.499893,32733,9734,290456272,12667,38.7,179.45,117.9
06-Sep-22,8950,9014.95,8820,8842,8885.662106,22220,6694,197439412,8545,38.46,194.95,-108
07-Sep-22,8840,8896.4,8779,8813.7,8825.787361,10412,2546,91894098,4213,40.46,117.4,-26.3
08-Sep-22,8850,8899.85,8725.15,8762.8,8816.441316,21701,6265,191325593,9831,45.3,174.7,-87.2
09-Sep-22,8771.1,8935.85,8710,8818.5,8805.94027,13762,3551,121187350,,,225.85,47.4
12-Sep-22,8850,8957.95,8850,8883.95,8913.011217,22734,6788,202628397,10953,48.18,107.95,33.95
13-Sep-22,8904.4,9275.05,8904.4,9090.35,9125.978197,27061,6541,246958096,8981,33.19,370.65,185.95
14-Sep-22,8871,9055,8750,8916.4,8960.984048,31030,7942,278059335,14493,46.71,305,45.4
15-Sep-22,8980,9084.55,8870,8882.55,8937.426955,18824,5834,168238125,7517,39.93,214.55,-97.45
16-Sep-22,8885.55,8919.45,8693.4,8726.6,8777.932279,11887,3320,104343281,5174,43.53,226.05,-158.95
19-Sep-22,8726.6,8816.95,8600,8695.15,8729.600219,40192,2534,350860092,34373,85.52,216.95,-31.45
20-Sep-22,8696,8938,8696,8899.9,8859.221261,8673,2273,76836026,2749,31.7,242,203.9
21-Sep-22,8855.05,8929.85,8800,8820.9,8842.667727,5658,1703,50031814,1684,29.76,129.85,-34.15
22-Sep-22,8765,9040,8741.6,8986.55,8899.421197,25202,7407,224283213,10098,40.07,298.4,221.55
23-Sep-22,8950,9054,8835,8856.35,8939.416051,9744,2531,87105670,2820,28.94,219,-93.65
26-Sep-22,8711.05,8775,8500,8535.45,8645.200016,12809,3632,110736367,,,275,-175.6
27-Sep-22,8600,8641.1,8285,8336,8445.517696,28113,8667,237428839,10995,39.11,356.1,-264
